 Year ; Month ; Day ; FECHA completa ;Valor Neto; Margen ; Mar% ; Cantidad ; Costo Promedio ; Fecha con dia semana ; Semana del año ; DIA de la semana ; index 
2017;Mayo;20;20/Mayo/2017;1924566.00;$ 923,378.76;47.98%;837.00;$ 1,001,187.24;sábado, 20 de mayo de 2017;20;sábado;718
2017;Mayo;22;22/Mayo/2017;30658240.00;$ 13,679,002.99;44.62%;14,296.00;$ 16,979,237.01;lunes, 22 de mayo de 2017;21;lunes;719
2017;Mayo;23;23/Mayo/2017;43066059.34;$ 21,473,092.95;49.86%;43,073.00;$ 21,592,966.39;martes, 23 de mayo de 2017;21;martes;720
2017;Mayo;24;24/Mayo/2017;29205031.00;$ 12,668,908.89;43.38%;18,779.00;$ 16,536,122.11;miércoles, 24 de mayo de 2017;21;miércoles;721
2017;Mayo;25;25/Mayo/2017;60842564.52;$ 21,482,354.10;35.31%;26,768.00;$ 39,360,210.42;jueves, 25 de mayo de 2017;21;jueves;722
2017;Mayo;26;26/Mayo/2017;45361183.69;$ 14,961,102.92;32.98%;17,133.00;$ 30,400,080.77;viernes, 26 de mayo de 2017;21;viernes;723
2017;Mayo;27;27/Mayo/2017;1041779.00;$ 384,353.80;36.89%;1,551.00;$ 657,425.20;sábado, 27 de mayo de 2017;21;sábado;724
2017;Mayo;29;29/Mayo/2017;26780032.00;$ 11,707,291.63;43.72%;30,040.00;$ 15,072,740.37;lunes, 29 de mayo de 2017;22;lunes;725
2017;Mayo;30;30/Mayo/2017;35436078.00;$ 16,556,692.52;46.72%;35,970.00;$ 18,879,385.48;martes, 30 de mayo de 2017;22;martes;726
2017;Mayo;31;31/Mayo/2017;75949734.05;$ 28,571,302.53;37.62%;44,392.00;$ 47,378,431.52;miércoles, 31 de mayo de 2017;22;miércoles;727
2017;Junio;1;1/Junio/2017;17803285.00;$ 7,347,584.91;41.27%;13,154.00;$ 10,455,700.09;jueves, 1 de junio de 2017;22;jueves;728
2017;Junio;2;2/Junio/2017;35878459.00;$ 14,814,152.12;41.29%;32,324.00;$ 21,064,306.88;viernes, 2 de junio de 2017;22;viernes;729
2017;Junio;3;3/Junio/2017;954629.00;$ 354,056.73;37.09%;1,213.00;$ 600,572.27;sábado, 3 de junio de 2017;22;sábado;730
2017;Junio;5;5/Junio/2017;26994678.00;$ 11,628,148.93;43.08%;18,190.00;$ 15,366,529.07;lunes, 5 de junio de 2017;23;lunes;731
2017;Junio;6;6/Junio/2017;47954036.06;$ 20,645,776.30;43.05%;34,132.00;$ 27,308,259.76;martes, 6 de junio de 2017;23;martes;732
2017;Junio;7;7/Junio/2017;32440062.86;$ 13,305,609.32;41.02%;25,003.00;$ 19,134,453.54;miércoles, 7 de junio de 2017;23;miércoles;733
2017;Junio;8;8/Junio/2017;30266173.00;$ 12,842,339.81;42.43%;26,092.00;$ 17,423,833.19;jueves, 8 de junio de 2017;23;jueves;734
2017;Junio;9;9/Junio/2017;38616885.10;$ 16,221,001.53;42.00%;29,277.00;$ 22,395,883.57;viernes, 9 de junio de 2017;23;viernes;735
2017;Junio;10;10/Junio/2017;7976766.00;$ 2,692,952.14;33.76%;4,832.00;$ 5,283,813.86;sábado, 10 de junio de 2017;23;sábado;736
2017;Junio;12;12/Junio/2017;32314073.00;$ 14,182,595.43;43.89%;30,369.00;$ 18,131,477.57;lunes, 12 de junio de 2017;24;lunes;737
2017;Junio;13;13/Junio/2017;41376173.00;$ 18,348,559.29;44.35%;24,497.00;$ 23,027,613.71;martes, 13 de junio de 2017;24;martes;738
2017;Junio;14;14/Junio/2017;40405898.47;$ 14,301,058.81;35.39%;24,465.00;$ 26,104,839.66;miércoles, 14 de junio de 2017;24;miércoles;739
2017;Junio;15;15/Junio/2017;35890051.00;$ 14,837,578.75;41.34%;25,390.00;$ 21,052,472.25;jueves, 15 de junio de 2017;24;jueves;740
2017;Junio;16;16/Junio/2017;37138054.00;$ 16,489,089.76;44.40%;21,533.48;$ 20,648,964.24;viernes, 16 de junio de 2017;24;viernes;741
2017;Junio;17;17/Junio/2017;1110994.00;$ 602,225.74;54.21%;751.00;$ 508,768.26;sábado, 17 de junio de 2017;24;sábado;742
2017;Junio;19;19/Junio/2017;31141835.00;$ 13,099,275.65;42.06%;21,775.00;$ 18,042,559.35;lunes, 19 de junio de 2017;25;lunes;743
2017;Junio;20;20/Junio/2017;27252464.21;$ 12,206,710.48;44.79%;19,561.00;$ 15,045,753.73;martes, 20 de junio de 2017;25;martes;744
2017;Junio;21;21/Junio/2017;30267450.00;$ 12,131,631.09;40.08%;24,720.00;$ 18,135,818.91;miércoles, 21 de junio de 2017;25;miércoles;745
